N_Sequence, N_Jour, heure_debut, duree, N_Classe, N_Matiere
1,1, 08:30, 01:00,1,2
2,1, 09:30, 01:00,1,6
3,1, 10:30, 01:30,1,14
5,1, 13:00, 01:00,1,13
6,1, 14:00, 01:00,1,10
7,1, 15:00, 01:00,1,2
8,1, 16:00, 01:00,1,6
9,1, 17:00, 01:00,1,3
12,2, 09:30, 01:00,1,13
13,2, 10:30, 01:00,1,11
15,2, 13:00, 01:00,1,3
16,2, 14:00, 01:00,1,12
17,2, 15:00, 01:00,1,8
18,2, 16:00, 01:00,1,10
19,2, 17:00, 01:00,1,7
22,3, 09:30, 01:00,1,6
23,3, 10:30, 02:00,1,17
31,4, 08:30, 01:00,1,9
32,4, 09:30, 01:00,1,2
33,4, 10:30, 01:00,1,6
35,4, 13:00, 01:00,1,1
36,4, 14:00, 01:30,1,11
37,4, 15:30, 01:30,1,15
40,4, 18:00, 01:00,1,9
41,5, 08:30, 02:00,1,5
43,5, 10:30, 01:00,1,10
44,5, 11:30, 01:00,1,3
46,5, 14:00, 01:00,1,10
47,5, 15:00, 01:00,1,10
48,5, 16:00, 01:00,1,6
50,5, 18:00, 01:00,1,1
51,6, 08:30, 01:00,1,11
52,6, 09:30, 01:00,1,9
53,6, 10:30, 02:00,1,8
61,1, 08:30, 01:00,2,2
62,1, 09:30, 01:00,2,13
63,1, 10:30, 01:00,2,6
65,1, 13:00, 01:00,2,10
66,1, 14:00, 01:00,2,16
67,1, 15:00, 02:00,2,6
71,2, 08:30, 01:00,2,2
72,2, 09:30, 01:00,2,16
73,2, 10:30, 01:00,2,10
75,2, 13:00, 01:00,2,10
76,2, 14:00, 01:00,2,18
77,2, 15:00, 01:00,2,8
78,2, 16:00, 01:00,2,11
79,2, 17:00, 01:00,2,7
81,3, 08:30, 01:00,2,11
82,3, 09:30, 01:00,2,6
83,3, 10:30, 02:00,2,17
91,4, 08:30, 01:30,2,11
93,4, 10:00, 01:30,2,15
95,4, 13:00, 01:00,2,8
97,4, 15:00, 01:00,2,6
98,4, 16:00, 02:00,2,12
100,4, 18:00, 01:00,2,9
101,5, 08:30, 02:00,2,5
103,5, 10:30, 01:00,2,10
104,5, 11:30, 01:30,2,14
106,5, 14:00, 01:00,2,13
107,5, 15:00, 01:00,2,2
108,5, 16:00, 01:00,2,16
110,5, 18:00, 01:00,2,1
112,6, 09:30, 01:00,2,9
113,6, 10:30, 01:00,2,8
114,6, 11:30, 01:00,2,10
121,1, 08:30, 01:00,3,10
122,1, 09:30, 01:00,3,18
123,1, 10:30, 01:00,3,13
125,1, 13:00, 01:30,3,11
126,1, 14:30, 01:30,3,15
128,1, 16:00, 01:00,3,16
132,2, 09:30, 01:00,3,10
133,2, 10:30, 01:30,3,14
135,2, 13:00, 01:00,3,4
136,2, 14:00, 01:00,3,2
137,2, 15:00, 01:00,3,11
138,2, 16:00, 01:00,3,6
139,2, 17:00, 01:00,3,16
141,3, 08:30, 01:00,3,10
142,3, 09:30, 01:00,3,2
143,3, 10:30, 02:00,3,17
151,4, 08:30, 01:00,3,12
152,4, 09:30, 02:00,3,8
154,4, 12:00, 01:00,3,1
155,4, 13:00, 01:00,3,6
156,4, 14:00, 01:00,3,16
